Subject Name,Subject Code,URL,Level,Credit Points,Offering Info
Business Risk Management,MULT90014,https://handbook.unimelb.edu.au/2024/subjects/mult90014,Graduate coursework,12.5 credit points,"Offered Winter Term, 2024"
Physics Research Project Pt 4,PHYC90046,https://handbook.unimelb.edu.au/2024/subjects/phyc90046,Graduate coursework,25 credit points,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2024"
Discrete and Network Optimisation,ELEN90087,https://handbook.unimelb.edu.au/2024/subjects/elen90087,Graduate coursework,12.5 credit points,Not offered in 2024
Program Analysis and Transformation,COMP90053,https://handbook.unimelb.edu.au/2024/subjects/comp90053,Graduate coursework,12.5 credit points,Not offered in 2024
Participatory Risk Management,GEOG90020,https://handbook.unimelb.edu.au/2024/subjects/geog90020,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Landscape Materialities,ABPL90340,https://handbook.unimelb.edu.au/2024/subjects/abpl90340,Graduate coursework,12.5 credit points,Not offered in 2024
Analytics for Strategic Management,BUSA90531,https://handbook.unimelb.edu.au/2024/subjects/busa90531,Graduate coursework,12.5 credit points,"Offered January, 2024"
Positioning Principles and Technologies,GEOM90033,https://handbook.unimelb.edu.au/2024/subjects/geom90033,Graduate coursework,12.5 credit points,"Offered Semester 2, 2024"
Neuroscience and Psychopharmacology,PSYC90083,https://handbook.unimelb.edu.au/2024/subjects/psyc90083,Graduate coursework,6.25 credit points,"Offered Semester 2, 2024"
PhD Research,POLS80001,https://handbook.unimelb.edu.au/2024/subjects/pols80001,Doctorate time-based research,0 credit points,"Offered Time-based Research, 2024"
Special Topics in Finance D,FNCE90067,https://handbook.unimelb.edu.au/2024/subjects/fnce90067,Graduate coursework,6.25 credit points,Not offered in 2024
Labour in Construction,ABPL90332,https://handbook.unimelb.edu.au/2024/subjects/abpl90332,Graduate coursework,12.5 credit points,Not offered in 2024
MPhil Research,CHEN90005,https://handbook.unimelb.edu.au/2024/subjects/chen90005,Masters time-based research,0 credit points,"Offered Time-based Research, 2024"
Adv Topics in Fluid Mechanics,ENGR90019,https://handbook.unimelb.edu.au/2024/subjects/engr90019,Graduate coursework,12.5 credit points,Not offered in 2024
Environmental Impact Assessment,EVSC90015,https://handbook.unimelb.edu.au/2024/subjects/evsc90015,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Chemistry Honours Research Project Pt2,CHEM40012,https://handbook.unimelb.edu.au/2024/subjects/chem40012,Honours,25 credit points,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2024"
Cooperation and Conflict in World Trade,ECON90025,https://handbook.unimelb.edu.au/2024/subjects/econ90025,Graduate coursework,12.5 credit points,Not offered in 2024
