Subject Name,Subject Code,Primary Info,Credit Points,Subject Url
Transit Oriented Development,PLAN30004,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/plan30004
Global Criminology,CRIM30002,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/crim30002
Analysis of Contemporary Chinese Society,CHIN30006,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/chin30006
Genders and Desires in Asia,ASIA20003,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/asia20003
Decadent Literature,ENGL30016,Not offered in 2024,3,https://handbook.unimelb.edu.au/2024/subjects/engl30016
Biology: Life's Machinery,BIOL10009,Not offered in 2024,1,https://handbook.unimelb.edu.au/2024/subjects/biol10009
French 7,FREN30001,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/fren30001
Italian 7,ITAL30015,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/ital30015
Chinese 6,CHIN10018,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/chin10018
"Israelis & Palestinians: Conflict, Peace",JEWI20006,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/jewi20006
Italian 6,ITAL10007,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/ital10007
German 6,GERM30006,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/germ30006
The Politics of Sex,POLS20011,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/pols20011
European Art & Absolute Power 1660-1815,AHIS30003,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/ahis30003
Corporate Power and White Collar Crime,CRIM30005,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/crim30005
Italian 5,ITAL10006,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/ital10006
German Cultural Studies B,GERM30001,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/germ30001
The Secret Life of Language,LING10001,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/ling10001
Intensive French 3 and 4,FREN20018,"Offered Summer Term, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/fren20018
Quantum Physics,PHYC30018,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/phyc30018
