Subject Name,Subject Code,Primary Info,Credit Points,Subject Url
Contemporary Korea,KORE20002,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/kore20002
Italian 6,ITAL10007,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/ital10007
Ancient Greek 1,CLAS10004,"Offered Semester 1, Winter Term, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/clas10004
Spanish 1,SPAN10001,"Offered Semester 1, Winter Term, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/span10001
Dancing the Dance 3: Dance for Video,DNCE20033,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/dnce20033
Japanese 7,JAPN10005,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/japn10005
Writing Videogames and Live Performance,CWRI30015,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/cwri30015
Italian 4,ITAL20008,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/ital20008
Life Writing,CWRI30013,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/cwri30013
Translation: Intercultural Indonesian,INDO20016,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/indo20016
French and Francophone Cultural Studies,FREN20016,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/fren20016
Philosophy: The Big Questions,PHIL10002,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/phil10002
Inside the City of Diversity,GEOG20008,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/geog20008
Islam and Ethics: Doctrines and Debates,ISLM30003,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/islm30003
Ancient & Contemporary Indigenous Arts 2,AIND20012,"Offered Winter Term, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/aind20012
International Gender Politics,POLS30015,Not offered in 2024,3,https://handbook.unimelb.edu.au/2024/subjects/pols30015
