Subject Name,Subject Code,Primary Info,Credit Points,Subject Url
Neuromarketing,MKTG30008,Not offered in 2024,3,https://handbook.unimelb.edu.au/2024/subjects/mktg30008
Accounting for Corporate Entities,ACCT20004,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/acct20004
Business Forensics and Fraud,ACCT20006,"Offered Winter Term, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/acct20006
Extreme Weather and Climate,ATOC20001,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/atoc20001
Plant Molecular Biology & Biotechnology,BOTA30005,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/bota30005
Japanese 6,JAPN20014,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/japn20014
Chinese 5,CHIN20003,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/chin20003
Electronic System Implementation,ELEN30013,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/elen30013
Enterprise Performance Management,ACCT30002,"Offered Semester 1, Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/acct30002
Music in Everyday Life,MUSI10037,Not offered in 2024,1,https://handbook.unimelb.edu.au/2024/subjects/musi10037
Laboratory Work B,PHYC30015,Not offered in 2024,3,https://handbook.unimelb.edu.au/2024/subjects/phyc30015
Indonesian 1,INDO10005,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/indo10005
Actuarial Modelling II,ACTL30002,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/actl30002
The Global Environment,EVSC10001,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/evsc10001
Introduction to Climate Change,UNIB10007,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/unib10007
Australian Wildlife Biology,ZOOL20004,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/zool20004
Principles of Neuroscience,NEUR30003,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/neur30003
Computational Economics and Business,ECON30025,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/econ30025
Discrete Mathematics,MAST30012,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/mast30012
Work and Conflict in the Global Economy,IBUS30003,Not offered in 2024,3,https://handbook.unimelb.edu.au/2024/subjects/ibus30003
Managing Employee Relations,MGMT20009,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/mgmt20009
Japanese 6,JAPN30008,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/japn30008
Indigenous Engineering and Design,MULT30022,Not offered in 2024,3,https://handbook.unimelb.edu.au/2024/subjects/mult30022
"Ethics, gender and the family",EDUC30065,"Offered February, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/educ30065
Labour Economics,ECON30006,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/econ30006
