Course Code,Major/Minor Name,URL
B-SCI,Ecology and Evolutionary Biology,https://handbook.unimelb.edu.au/2024/components/b-sci-major-41/print
B-SCI,Ecosystem Science,https://handbook.unimelb.edu.au/2024/components/b-sci-major-42/print
B-SCI,Electrical Engineering Systems,https://handbook.unimelb.edu.au/2024/components/b-sci-major-20/print
B-SCI,Environmental Engineering Systems,https://handbook.unimelb.edu.au/2024/components/b-sci-major-9/print
B-SCI,Environmental Science,https://handbook.unimelb.edu.au/2024/components/b-sci-major-21/print
B-SCI,Food Science,https://handbook.unimelb.edu.au/2024/components/b-sci-major-22/print
B-SCI,Genetics,https://handbook.unimelb.edu.au/2024/components/b-sci-major-23/print
B-SCI,Geography,https://handbook.unimelb.edu.au/2024/components/b-sci-major-24/print
B-SCI,Geology,https://handbook.unimelb.edu.au/2024/components/b-sci-major-25/print
B-SCI,Geoscience,https://handbook.unimelb.edu.au/2024/components/b-sci-major-47/print
B-SCI,Human Nutrition,https://handbook.unimelb.edu.au/2024/components/b-sci-major-43/print
B-SCI,Human Structure and Function,https://handbook.unimelb.edu.au/2024/components/b-sci-major-26/print
B-SCI,Immunology,https://handbook.unimelb.edu.au/2024/components/b-sci-major-4/print
B-SCI,Infection and Immunity,https://handbook.unimelb.edu.au/2024/components/b-sci-major-5/print
B-SCI,Informatics,https://handbook.unimelb.edu.au/2024/components/b-sci-major-2/print
B-SCI,Marine Biology,https://handbook.unimelb.edu.au/2024/components/b-sci-major-27/print
B-SCI,Mathematical Physics,https://handbook.unimelb.edu.au/2024/components/b-sci-major-28/print
B-SCI,Mathematics and Statistics,https://handbook.unimelb.edu.au/2024/components/b-sci-major-29/print
B-SCI,Mechanical Engineering Systems,https://handbook.unimelb.edu.au/2024/components/b-sci-major-30/print
B-SCI,Mechatronics Engineering Systems,https://handbook.unimelb.edu.au/2024/components/b-sci-major-6/print
B-SCI,Microbiology,https://handbook.unimelb.edu.au/2024/components/b-sci-major-44/print
B-SCI,Neuroscience,https://handbook.unimelb.edu.au/2024/components/b-sci-major-31/print
B-SCI,Pathology,https://handbook.unimelb.edu.au/2024/components/b-sci-major-32/print
B-SCI,Pharmacology,https://handbook.unimelb.edu.au/2024/components/b-sci-major-33/print
B-SCI,Physics,https://handbook.unimelb.edu.au/2024/components/b-sci-major-34/print
B-SCI,Physiology,https://handbook.unimelb.edu.au/2024/components/b-sci-major-40/print
B-SCI,Plant Science,https://handbook.unimelb.edu.au/2024/components/b-sci-major-35/print
B-SCI,Psychology,https://handbook.unimelb.edu.au/2024/components/b-sci-major-36/print
B-SCI,Spatial Systems,https://handbook.unimelb.edu.au/2024/components/b-sci-major-38/print
