Subject Name,Subject Code,URL,Level,Credit Points,Offering Info
"Law, Justice and Social Change",CRIM20010,https://handbook.unimelb.edu.au/2024/subjects/crim20010,Undergraduate Level 2,12.5 credit points,"Offered Semester 2, 2024"
Italian 8,ITAL30016,https://handbook.unimelb.edu.au/2024/subjects/ital30016,Undergraduate Level 3,12.5 credit points,"Offered Semester 2, 2024"
Chamber Music 4,MUSI30020,https://handbook.unimelb.edu.au/2024/subjects/musi30020,Undergraduate Level 3,6.25 credit points,"Offered Semester 1, Semester 2, November, 2024"
French 3,FREN20015,https://handbook.unimelb.edu.au/2024/subjects/fren20015,Undergraduate Level 2,12.5 credit points,"Offered Semester 1, 2024"
Critical and Theoretical Studies 3,FINA20029,https://handbook.unimelb.edu.au/2024/subjects/fina20029,Undergraduate Level 2,12.5 credit points,"Offered Semester 1, 2024"
Italian 6,ITAL30014,https://handbook.unimelb.edu.au/2024/subjects/ital30014,Undergraduate Level 3,12.5 credit points,"Offered Semester 2, 2024"
Probability for Inference,MAST30020,https://handbook.unimelb.edu.au/2024/subjects/mast30020,Undergraduate Level 3,12.5 credit points,"Offered Semester 1, 2024"
Screening Europe: Image and Identity,EURO30004,https://handbook.unimelb.edu.au/2024/subjects/euro30004,Undergraduate Level 3,12.5 credit points,"Offered Semester 1, 2024"
Intensive Beginners Latin,CLAS30004,https://handbook.unimelb.edu.au/2024/subjects/clas30004,Undergraduate Level 3,25 credit points,"Offered Summer Term, 2024"
In the Heart of the Loire Valley,FREN30018,https://handbook.unimelb.edu.au/2024/subjects/fren30018,Undergraduate Level 3,12.5 credit points,Not offered in 2024
German 3,GERM10001,https://handbook.unimelb.edu.au/2024/subjects/germ10001,Undergraduate Level 1,12.5 credit points,"Offered Semester 1, 2024"
Art and Revolution,AHIS20016,https://handbook.unimelb.edu.au/2024/subjects/ahis20016,Undergraduate Level 2,12.5 credit points,"Offered Semester 2, 2024"
Critical Analytical Skills,MULT20003,https://handbook.unimelb.edu.au/2024/subjects/mult20003,Undergraduate Level 2,12.5 credit points,"Offered Semester 1, 2024"
Intensive Spanish 3 & 4,SPAN20027,https://handbook.unimelb.edu.au/2024/subjects/span20027,Undergraduate Level 2,25 credit points,"Offered Summer Term, 2024"
Community Volunteering - Global,MULT20014,https://handbook.unimelb.edu.au/2024/subjects/mult20014,Undergraduate Level 2,12.5 credit points,Not offered in 2024
Korean 4,KORE20004,https://handbook.unimelb.edu.au/2024/subjects/kore20004,Undergraduate Level 2,12.5 credit points,"Offered Semester 2, 2024"
Graphic Design Studio 2: Image & Media,GDES20001,https://handbook.unimelb.edu.au/2024/subjects/gdes20001,Undergraduate Level 2,12.5 credit points,"Offered Semester 1, 2024"
Freedom and Equality Across Borders,PHIL20045,https://handbook.unimelb.edu.au/2024/subjects/phil20045,Undergraduate Level 2,12.5 credit points,Not offered in 2024
Insects Shaping Society,UNIB10018,https://handbook.unimelb.edu.au/2024/subjects/unib10018,Undergraduate Level 1,12.5 credit points,"Offered Semester 2, 2024"
Qualitative Research in Public Health,POPH90231,https://handbook.unimelb.edu.au/2024/subjects/poph90231,Graduate coursework,12.5 credit points,"Offered Semester 1, Semester 2, 2024"
Supply Chains in Construction,ABPL90309,https://handbook.unimelb.edu.au/2024/subjects/abpl90309,Graduate coursework,12.5 credit points,Not offered in 2024
Health Policy,POPH90206,https://handbook.unimelb.edu.au/2024/subjects/poph90206,Graduate coursework,12.5 credit points,"Offered March, 2024"
Managing Sustainability for Strat. Adv.,BUSA90530,https://handbook.unimelb.edu.au/2024/subjects/busa90530,Graduate coursework,12.5 credit points,"Offered January, July, 2024"
Supply Chain Challenges & Opportunities,MGMT90257,https://handbook.unimelb.edu.au/2024/subjects/mgmt90257,Graduate coursework,6.25 credit points,"Offered March, August, 2024"
Financial Analysis and Valuation,BUSA90492,https://handbook.unimelb.edu.au/2024/subjects/busa90492,Graduate coursework,12.5 credit points,"Offered January, 2024"
Current Business Issues,BUSA90553,https://handbook.unimelb.edu.au/2024/subjects/busa90553,Graduate coursework,12.5 credit points,"Offered September, 2024"
Structure and Function in Dentistry,DENT90114,https://handbook.unimelb.edu.au/2024/subjects/dent90114,Graduate coursework,18.75 credit points,"Offered Year Long, 2024"
F_Lab: Bespoke Furnitures,ABPL90222,https://handbook.unimelb.edu.au/2024/subjects/abpl90222,Graduate coursework,12.5 credit points,"Offered Semester 1, Semester 2, 2024"
International Development Infrastructure,ABPL90442,https://handbook.unimelb.edu.au/2024/subjects/abpl90442,Graduate coursework,12.5 credit points,"Offered Winter Term, 2024"
Community Volunteering - Global,MULT20014,https://handbook.unimelb.edu.au/2024/subjects/mult20014,Undergraduate Level 2,12.5 credit points,Not offered in 2024
Korean 4,KORE20004,https://handbook.unimelb.edu.au/2024/subjects/kore20004,Undergraduate Level 2,12.5 credit points,"Offered Semester 2, 2024"
Freedom and Equality Across Borders,PHIL20045,https://handbook.unimelb.edu.au/2024/subjects/phil20045,Undergraduate Level 2,12.5 credit points,Not offered in 2024
Riverine Landscapes: Hydrology & Ecology,GEOG30022,https://handbook.unimelb.edu.au/2024/subjects/geog30022,Undergraduate Level 3,12.5 credit points,Not offered in 2024
Diverse and Inclusive Classrooms (Prim),EDUC90881,https://handbook.unimelb.edu.au/2024/subjects/educ90881,Graduate coursework,6.25 credit points,"Offered March, 2024"
Computational Statistics & Data Science,MAST90083,https://handbook.unimelb.edu.au/2024/subjects/mast90083,Graduate coursework,12.5 credit points,"Offered Semester 2, 2024"
Health and Physical Education,EDUC90378,https://handbook.unimelb.edu.au/2024/subjects/educ90378,Graduate coursework,6.25 credit points,"Offered February, 2024"
Writing for Performance 1 (Solo),THTR90019,https://handbook.unimelb.edu.au/2024/subjects/thtr90019,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Fundamentals of Geological CO2 Storage,GEOL90043,https://handbook.unimelb.edu.au/2024/subjects/geol90043,Graduate coursework,6.25 credit points,Not offered in 2024
Consumerism and the Growth Economy,ENST90019,https://handbook.unimelb.edu.au/2024/subjects/enst90019,Graduate coursework,12.5 credit points,Not offered in 2024
Mesoscale Atmospheric Dynamics,ATOC90007,https://handbook.unimelb.edu.au/2024/subjects/atoc90007,Graduate coursework,12.5 credit points,Not offered in 2024
Honours Music Studies 1,MUSI40110,https://handbook.unimelb.edu.au/2024/subjects/musi40110,Honours,12.5 credit points,"Offered Semester 2, 2024"
