Subject Name,Subject Code,Subject Type,Primary Info,Credits,URL
Content and Language Integrated Pedagogy,EDUC90481,Requisites apply,"Offered July, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/educ90481
Contested Development and Culture,DEVT90078,Subject,"Offered July, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/devt90078
Composition 4,MUSI20056,Requisites apply,"Offered Semester 1, Semester 2, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/musi20056
Screenwriting Practices 1B,FLTV10015,Requisites apply,"Offered Semester 2, 2024","Undergraduate Level 1, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/fltv10015
Music Technology,MUSI20008,Subject,"Offered Semester 1, 2024","Undergraduate Level 2, 6.25 credit points",https://handbook.unimelb.edu.au/2024/subjects/musi20008
Animation Studio 1A,FLTV10016,Subject,"Offered Semester 1, 2024","Undergraduate Level 1, 18.75 credit points",https://handbook.unimelb.edu.au/2024/subjects/fltv10016
Theatre Histories,ENGL20036,Subject,"Offered Semester 2, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/engl20036
"Science, Technology and Public Policy",PPMN20001,Requisites apply,Not offered in 2024,"Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/ppmn20001
German 1,GERM10004,Requisites apply,"Offered Summer Term, Semester 1, Winter Term, 2024","Undergraduate Level 1, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/germ10004
French 6,FREN20002,Requisites apply,"Offered Semester 2, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/fren20002
Experiencing Italian Foodscapes,EURO20008,Quotas apply,Not offered in 2024,"Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/euro20008
German 9,GERM20009,Requisites apply,"Offered Semester 1, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/germ20009
Indonesian Literature and Film,INDO30006,Requisites apply,"Offered Semester 1, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/indo30006
From Page to Stage: French Theatre,FREN20022,Requisites apply,"Offered Semester 1, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/fren20022
Shakuhachi 1,MUSI20104,Subject,"Offered Semester 1, Semester 2, 2024","Undergraduate Level 2, 6.25 credit points",https://handbook.unimelb.edu.au/2024/subjects/musi20104
Renaissance Art in Global Context,AHIS30022,Subject,"Offered Semester 2, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/ahis30022
Free Play New Music Improvisation Ensem,MUSI20164,Quotas apply,"Offered January, Semester 1, June, Semester 2, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/musi20164
Intermediate Financial Mathematics,ACTL30006,Requisites apply,"Offered Semester 2, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/actl30006
French 3,FREN10001,Requisites apply,"Offered Semester 1, 2024","Undergraduate Level 1, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/fren10001
Hebrew 4,HEBR10006,Requisites apply,"Offered Semester 2, 2024","Undergraduate Level 1, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/hebr10006
Second Language Learning and Teaching,LING20003,Subject,"Offered Semester 2, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/ling20003
Intensive Akkadian 1,ANCW10008,Subject,Not offered in 2024,"Undergraduate Level 1, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/ancw10008
Intensive Syriac Aramaic,ANCW20018,Subject,Not offered in 2024,"Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/ancw20018
Contemporary Italy Study Abroad,ITAL30005,Requisites apply,"Offered November, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/ital30005
Controversies in Australian History,HIST30064,Subject,"Offered Semester 2, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/hist30064
Indonesian Politics and Society,INDO20018,Subject,"Offered Semester 1, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/indo20018
German 3,GERM20004,Requisites apply,"Offered Semester 1, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/germ20004
Vocal Ensemble 1,MUSI20112,Requisites apply,"Offered Semester 1, 2024","Undergraduate Level 2, 6.25 credit points",https://handbook.unimelb.edu.au/2024/subjects/musi20112
Variation in Japanese Language,JAPN20012,Quotas apply,"Offered Summer Term, Semester 1, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/japn20012
Real and Artificial Neural Networks,NEUR30006,Requisites apply,"Offered Semester 2, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/neur30006
Development in the 21st Century,DEVT20001,Subject,"Offered Semester 2, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/devt20001
Red Empire: The Soviet Union and After,HIST20084,Subject,"Offered Semester 2, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/hist20084
Bad Science,HPSC10004,Subject,Not offered in 2024,"Undergraduate Level 1, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/hpsc10004
Space Studio,FINA30022,Requisites apply,"Offered Semester 1, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/fina30022
Matters of Taste: French Eating Cultures,FREN30015,Requisites apply,Not offered in 2024,"Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/fren30015
"Myth, Art and Empire: Greece and Rome",ANCW10002,Subject,"Offered Semester 2, 2024","Undergraduate Level 1, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/ancw10002
French 4,FREN20017,Requisites apply,"Offered Semester 2, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/fren20017
Chinese 7,CHIN10003,Requisites apply,"Offered Semester 1, 2024","Undergraduate Level 1, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/chin10003
Screening Europe: Image and Identity,EURO20005,Subject,"Offered Semester 1, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/euro20005
Introduction to Screenprinting,FINA20045,Quotas apply,"Offered January, February, April, June, July, September, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/fina20045
Introduction to Indigenous Education,EDUC10060,Subject,"Offered Semester 1, 2024","Undergraduate Level 1, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/educ10060
Spanish 5,SPAN10007,Requisites apply,"Offered Semester 1, 2024","Undergraduate Level 1, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/span10007
"Rock, Pop & Resistance",SPAN30012,Requisites apply,"Offered Semester 2, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/span30012
Spanish 7,SPAN30016,Requisites apply,"Offered Semester 1, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/span30016
German 8,GERM30022,Requisites apply,"Offered Semester 2, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/germ30022
"Work, Labour and Society",SOCI30015,Subject,"Offered Semester 2, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/soci30015
Race and Gender: Philosophical Issues,PHIL30052,Subject,"Offered Semester 1, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/phil30052
Cold War Cultures in Asia,HIST30066,Subject,"Offered Semester 1, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/hist30066
Valuation of Land and Buildings,PROP30001,Requisites apply,"Offered Semester 1, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/prop30001
Spanish 4,SPAN10004,Requisites apply,"Offered Semester 2, 2024","Undergraduate Level 1, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/span10004
"Mind, Brain & Behaviour 1",PSYC10003,Subject,"Offered Semester 1, 2024","Undergraduate Level 1, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/psyc10003
Understanding Society,SOCI10001,Subject,"Offered Semester 2, 2024","Undergraduate Level 1, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/soci10001
Law in Social Theory,CRIM30012,Subject,"Offered Semester 2, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/crim30012
Policing,CRIM20003,Subject,"Offered Semester 2, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/crim20003
Living in a Risk Society,SOCI30009,Subject,"Offered Semester 2, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/soci30009
Biology: Life's Complexity,BIOL10011,Requisites apply,Not offered in 2024,"Undergraduate Level 1, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/biol10011
The History of Cool: Fashion & Attitude,DPSS10007,Subject,"Offered Semester 2, 2024","Undergraduate Level 1, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/dpss10007
Aboriginal Women: Activism & Leadership,INDG20003,Subject,"Offered Semester 2, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/indg20003
