Subject Name,Subject Code,Subject Type,Primary Info,Credits,URL
Commercialisation of Science,MKTG90022,Subject,"Offered Semester 2, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/mktg90022
German Honours Language,GERM40010,Subject,"Offered Semester 1, 2024","Honours, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/germ40010
Screen Practice 1B,FLTV10008,Requisites apply,"Offered Semester 2, 2024","Undergraduate Level 1, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/fltv10008
BioSciences Research Project Pt 4(Cont.),BIOL90035,Subject,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024","Graduate coursework, 50 credit points",https://handbook.unimelb.edu.au/2024/subjects/biol90035
Applied Statistics for Biologists,BIOL90002,Subject,"Offered Semester 1, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/biol90002
Performance Skills 2,DRAM20031,Requisites apply,"Offered Semester 2, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/dram20031
Earth Sciences Research Project Pt3,ERTH90045,Subject,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024","Graduate coursework, 37.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/erth90045
Introduction to Mineralogy,GEOL90032,Subject,"Offered October, 2024","Graduate coursework, 6.25 credit points",https://handbook.unimelb.edu.au/2024/subjects/geol90032
Applied High Performance Computing,MCEN90031,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/mcen90031
Vet Bioscience: Cardiovascular System,VETS90124,Requisites apply,"Offered Semester 2, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/vets90124
Quant. Decision Making & Optimisation,BISY90017,Quotas apply,"Offered September, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/bisy90017
Property Resources and Management,ABPL90275,Requisites apply,"Offered Semester 2, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/abpl90275
Graduate Spanish B,SPAN90004,Requisites apply,"Offered Semester 2, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/span90004
Landscape Studio 4 Strategies,ABPL90170,Requisites apply,"Offered Semester 2, 2024","Graduate coursework, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/abpl90170
Designing for Heat in the Public Domain,ABPL90380,Requisites apply,"Offered November, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/abpl90380
Earth Sciences Research Project Pt3,ERTH90043,Subject,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/erth90043
Physics Research Project Pt2,PHYC40014,Requisites apply,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2024","Undergraduate Level 4, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/phyc40014
Musician's Health,MUSI90244,Subject,"Offered Semester 1, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/musi90244
Biochemistry & Pharmacology Research 2,BCMB40012,Requisites apply,"Offered Semester 1, 2024","Honours, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/bcmb40012
Design - Philosophy - Architecture,ABPL90421,Subject,"Offered Semester 1, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/abpl90421
Individual and Cultural Diversity,PSYC90009,Requisites apply,"Offered Semester 2, 2024","Graduate coursework, 6.25 credit points",https://handbook.unimelb.edu.au/2024/subjects/psyc90009
MPhil Research,COMP90037,Requisites apply,"Offered Time-based Research, 2024","Masters time-based research, 0 credit points",https://handbook.unimelb.edu.au/2024/subjects/comp90037
Korean 6,KORE30004,Requisites apply,"Offered Semester 2, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/kore30004
French Thesis Part 2,FREN40011,Requisites apply,"Offered Semester 1, Semester 2, 2024","Honours, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/fren40011
Indonesian Thesis Part 2,INDO40009,Requisites apply,"Offered Semester 1, Semester 2, 2024","Honours, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/indo40009
MD Discovery 4: Research Scholar,MEDS90044,Requisites apply,Not offered in 2024,"Graduate coursework, 50 credit points",https://handbook.unimelb.edu.au/2024/subjects/meds90044
Earth Sciences Research Project Pt 5,ERTH90059,Subject,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2024","Graduate coursework, 50 credit points",https://handbook.unimelb.edu.au/2024/subjects/erth90059
Earth Sciences Research Project Pt5 Cnt.,ERTH90064,Subject,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/erth90064
Industry Project,AGRI30005,Requisites apply,Not offered in 2024,"Undergraduate Level 3, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/agri30005
Advanced Thermodynamics,MCEN90019,Requisites apply,"Offered Semester 2, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/mcen90019
Veterinary Bioscience: Cells to Systems,VETS30029,Requisites apply,"Offered Semester 1, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/vets30029
Research Project (MMS),BIOM90016,Requisites apply,"Offered Semester 1, Semester 2, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/biom90016
Global Population Ageing,POPH90264,Subject,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/poph90264
General Relativity,PHYC90012,Requisites apply,"Offered Semester 2, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/phyc90012
Professional Practice Theatre 2,DRAM30038,Requisites apply,"Offered Semester 2, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/dram30038
Physiology: Adapting to Challenges,PHYS30012,Requisites apply,"Offered Semester 2, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/phys30012
Planning Theory and History,ABPL90134,Subject,"Offered Semester 1, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/abpl90134
BioSciences Research Project Part 2,BIOL90008,Requisites apply,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/biol90008
Clinical Path Research Project Part 2,PATH40007,Requisites apply,"Offered Semester 2, 2024","Honours, 50 credit points",https://handbook.unimelb.edu.au/2024/subjects/path40007
Graduate Research Internship,AGRI90095,Requisites apply,"Offered Semester 1 (Extended), June, Semester 2 (Extended), 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/agri90095
Research Project,PHYC90022,Subject,"Offered Semester 1, Semester 2, 2024","Graduate coursework, 37.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/phyc90022
Foundations of Digital Government,PADM20001,Subject,Not offered in 2024,"Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/padm20001
Food Science Research Project Part 2,FOOD40002,Subject,"Offered Semester 2 (Early-Start), 2024","Honours, 50 credit points",https://handbook.unimelb.edu.au/2024/subjects/food40002
BioSciences Research Project Part 4,BIOL90017,Requisites apply,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2024","Graduate coursework, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/biol90017
Optical Networking and Design,ELEN90034,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/elen90034
Medical Microbiology: Parasitology,MIIM30017,Requisites apply,"Offered Semester 2, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/miim30017
Geography Minor Research Project Part 2,GEOG90032,Requisites apply,"Offered Semester 1, Semester 2, 2024","Graduate coursework, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/geog90032
Earth Sciences Research Project Pt1,ERTH90036,Subject,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024","Graduate coursework, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/erth90036
Human Centred Mechanical Design,MCEN90050,Quotas apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/mcen90050
History Research Workshop,HIST40041,Subject,Not offered in 2024,"Honours, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/hist40041
Music Theatre Contextual Studies 2,MUST10015,Requisites apply,"Offered Semester 2, 2024","Undergraduate Level 1, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/must10015
Environmental Sociology: Warming Planet,SOCI20020,Subject,"Offered Semester 1, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/soci20020
Distributed Algorithms,COMP90020,Requisites apply,"Offered Semester 1, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/comp90020
Screen Story 1,FLTV90045,Subject,"Offered Semester 1, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/fltv90045
Urban Design Studio B,ABPL90273,Requisites apply,"Offered Semester 1, Semester 2, 2024","Graduate coursework, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/abpl90273
Oral Health Therapy Research Int'l,ORAL30003,Subject,"Offered Summer Term, February, March, April, June, July, August, 2024","Undergraduate Level 3, 6.25 credit points",https://handbook.unimelb.edu.au/2024/subjects/oral30003
Econometrics Research Report Part 2,ECOM90027,Requisites apply,"Offered Semester 2 (Early-Start), 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/ecom90027
Topics in Insurance and Finance,ACTL90021,Requisites apply,"Offered Semester 2, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/actl90021
Prosthodontics 3,DENT90104,Subject,"Offered Year Long (Extended), 2024","Graduate coursework, 75 credit points",https://handbook.unimelb.edu.au/2024/subjects/dent90104
Nursing as Practice,NURS90055,Requisites apply,"Offered Semester 2, 2024","Graduate coursework, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/nurs90055
Disability in Policy and Practice,POPH90088,Subject,"Offered February, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/poph90088
Research in Financial Accounting,ACCT40001,Requisites apply,"Offered Semester 1, 2024","Honours, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/acct40001
Chemical Engineering Research Project,CHEN90023,Requisites apply,"Offered Summer Term, Semester 1, Semester 2, 2024","Graduate coursework, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/chen90023
Edible Urban Futures,ABPL90446,Subject,"Offered Winter Term, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/abpl90446
Accounting and Finance for Actuaries,ACCT90042,Subject,"Offered Semester 1, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/acct90042
Advanced Thermodynamics,MCEN90019,Requisites apply,"Offered Semester 2, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/mcen90019
Earth Sciences Research Project Pt 5,ERTH90059,Subject,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2024","Graduate coursework, 50 credit points",https://handbook.unimelb.edu.au/2024/subjects/erth90059
Arts Management Thesis Part 2,AMGT90028,Requisites apply,"Offered Semester 1, Semester 2, 2024","Graduate coursework, 18.75 credit points",https://handbook.unimelb.edu.au/2024/subjects/amgt90028
Long Research Project B,FRST90077,Requisites apply,"Offered Semester 1, Semester 2, 2024","Graduate coursework, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/frst90077
Design Projects 3 Part 1,DPSS90004,Requisites apply,"Offered Semester 1 (Extended), 2024","Graduate coursework, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/dpss90004
Chinese Thesis Part 2,CHIN40007,Requisites apply,"Offered Semester 1, Semester 2, 2024","Honours, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/chin40007
Research Project in Comp Biology Pt2,SCIE90024,Requisites apply,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024","Graduate coursework, 37.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/scie90024
Applied Data Science,MAST30034,Requisites apply,"Offered Semester 2, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/mast30034
Music Theatre Major Project,MUST40001,Requisites apply,"Offered Year Long, 2024","Honours, 75 credit points",https://handbook.unimelb.edu.au/2024/subjects/must40001
Interdisciplinary Industry Project 2,ARTS90027,Requisites apply,"Offered Semester 2, 2024","Graduate coursework, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/arts90027
Studio Materials and Methods B,FINA60010,Requisites apply,"Offered Semester 2, 2024","Graduate coursework Level 6, 6.25 credit points",https://handbook.unimelb.edu.au/2024/subjects/fina60010
"Director, Actor and Text",DRAM90021,Subject,"Offered Semester 2, 2024","Graduate coursework, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/dram90021
Earth Sciences Research Project Pt1,ERTH90038,Subject,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024","Graduate coursework, 50 credit points",https://handbook.unimelb.edu.au/2024/subjects/erth90038
Techniques in Microbiology,MIIM30016,Quotas apply,"Offered Semester 1, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/miim30016
Supervised Reading (Asia Institute),MULT90002,Requisites apply,"Offered Semester 1, Semester 2, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/mult90002
Digital Asia,ASIA20008,Subject,"Offered Semester 2, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/asia20008
"Identity, Ideology & Nationalism in Asia",ASIA30002,Requisites apply,"Offered Semester 2, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/asia30002
Screenwriting Practices 3A,FLTV30029,Requisites apply,"Offered Semester 1, 2024","Undergraduate Level 3, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/fltv30029
The Book: Late Antiquity to Renaissance,AHIS40019,Subject,"Offered Semester 2, 2024","Honours, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/ahis40019
Chemistry Research Project Pt 2,CHEM90027,Subject,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/chem90027
International Relations Thesis Part 1,ASIA90012,Requisites apply,"Offered Semester 1, Semester 2, 2024","Graduate coursework, 18.75 credit points",https://handbook.unimelb.edu.au/2024/subjects/asia90012
Radiation Protection,ENGR90047,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/engr90047
Graduate Seminar in BioSciences,BIOL90040,Subject,"Offered Semester 1, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/biol90040
Chemistry Honours Research Project Pt1,CHEM40016,Requisites apply,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024","Honours, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/chem40016
Advanced Microeconomics,ECON40001,Requisites apply,"Offered Semester 1, 2024","Honours, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/econ40001
Oral Health Research Project 4A,ORAL40001,Requisites apply,"Offered Semester 1, Semester 2, 2024","Honours, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/oral40001
Otolaryngology Advanced Coursework,OTOL40002,Requisites apply,"Offered Semester 1, 2024","Honours, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/otol40002
Biochemistry in Agricultural Systems,AGRI20043,Requisites apply,"Offered Semester 1, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/agri20043
Sustainable and Life Cycle Engineering,MCEN90060,Requisites apply,"Offered Semester 2, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/mcen90060
Bayesian Statistical Methods,POPH90139,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/poph90139
Accounting Research Report 1,ACCT90003,Requisites apply,"Offered Year Long, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/acct90003
Social Research and Reflexive Writing,ARTS90002,Subject,Not offered in 2024,"Graduate coursework, 6.25 credit points",https://handbook.unimelb.edu.au/2024/subjects/arts90002
Oral Health Sci Research Proj Part 2,DENT40011,Requisites apply,"Offered Semester 1, Semester 2, 2024","Honours, 50 credit points",https://handbook.unimelb.edu.au/2024/subjects/dent40011
Ecosystem & Forest Science Research Pt1,ENST40005,Requisites apply,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024","Honours, 50 credit points",https://handbook.unimelb.edu.au/2024/subjects/enst40005
Mathematics for Economists,ECON90053,Requisites apply,"Offered Semester 1, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/econ90053
Earth Sciences Research Project Pt1,ERTH90037,Subject,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024","Graduate coursework, 37.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/erth90037
Business in Asia,IBUS90005,Subject,"Offered March, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/ibus90005
Geography Honours Research Project Pt1,GEOG40009,Requisites apply,"Offered Semester 1 (Extended), 2024","Honours, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/geog40009
Research Project (MMS),BIOM90017,Requisites apply,"Offered Semester 1, Semester 2, 2024","Graduate coursework, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/biom90017
Freight Systems,CVEN90061,Subject,"Offered Semester 2, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/cven90061
Behavioural Accounting Research,ACCT40007,Requisites apply,"Offered Winter Term, 2024","Honours, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/acct40007
Musculoskeletal Ultrasound - Practical,MEDI90135,Requisites apply,Not offered in 2024,"Graduate coursework, 6.25 credit points",https://handbook.unimelb.edu.au/2024/subjects/medi90135
Clinical and Translational Physiology,PHYS30011,Requisites apply,"Offered Semester 2, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/phys30011
Actuarial Studies Projects - Part 2,ACTL90024,Requisites apply,"Offered Semester 2 (Early-Start), 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/actl90024
Current Topics in Social Psychology,PSYC40002,Requisites apply,"Offered July, 2024","Honours, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/psyc40002
Thesis (Masters/coursework) Part 1,PSYC90095,Requisites apply,"Offered Semester 1, 2024","Graduate coursework, 18.75 credit points",https://handbook.unimelb.edu.au/2024/subjects/psyc90095
Veterinary Public Health,VETS90136,Requisites apply,"Offered Semester 2, 2024","Graduate coursework, 6.25 credit points",https://handbook.unimelb.edu.au/2024/subjects/vets90136
Principles of Heritage and Conservation,ABPL90282,Subject,"Offered February, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/abpl90282
Independent Studies in Audiology,AUDI90004,Requisites apply,"Offered Year Long, 2024","Graduate coursework, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/audi90004
Earth Sciences Research Project Pt4 Cnt.,ERTH90053,Subject,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024","Graduate coursework, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/erth90053
Smart Transportation,CVEN30011,Subject,"Offered Semester 2, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/cven30011
Music Therapy Practice 2,MUSI90039,Requisites apply,"Offered Semester 2, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/musi90039
Special Study in Journalism,JOUR90007,Subject,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/jour90007
Visual Culture Industries,SCRN90004,Subject,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/scrn90004
Dental Research Project 2,DENT90074,Requisites apply,"Offered Year Long, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/dent90074
Screenwriting Practices 3A,FLTV30029,Requisites apply,"Offered Semester 1, 2024","Undergraduate Level 3, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/fltv30029
Script Development Hothouse,FLTV70046,Requisites apply,"Offered Semester 2, 2024","Graduate coursework Level 7, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/fltv70046
International Relations Thesis Part 2,POLS90055,Requisites apply,"Offered Semester 1, Semester 2, 2024","Graduate coursework, 18.75 credit points",https://handbook.unimelb.edu.au/2024/subjects/pols90055
Pharmaceutical & Biochemical Production,CHEN90039,Requisites apply,"Offered Semester 2, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/chen90039
Research Project,DENT90033,Subject,"Offered Year Long, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/dent90033
Earth Sciences Research Project Pt2,ERTH90039,Subject,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/erth90039
Korean 5,KORE20005,Requisites apply,"Offered Semester 1, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/kore20005
Researching Audiences and Reception,MECM40003,Subject,"Offered Semester 1, 2024","Honours, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/mecm40003
Adult Psychopathology,PSYC90031,Requisites apply,"Offered Summer Term, 2024","Graduate coursework, 6.25 credit points",https://handbook.unimelb.edu.au/2024/subjects/psyc90031
Spatial Tools for Ecosystem Management,ENST90045,Subject,"Offered Semester 1, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/enst90045
Adult Neuropsychological Disorders,PSYC90032,Subject,"Offered Year Long, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/psyc90032
Practical Igneous Petrology,GEOL90034,Subject,Not offered in 2024,"Graduate coursework, 6.25 credit points",https://handbook.unimelb.edu.au/2024/subjects/geol90034
Clinical Assessment & Course Evaluation,EDUC90804,Requisites apply,"Offered March, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/educ90804
Introduction to Assessment and Diagnosis,PSYC90011,Requisites apply,"Offered Summer Term, 2024","Graduate coursework, 6.25 credit points",https://handbook.unimelb.edu.au/2024/subjects/psyc90011
Breast Ultrasound - Practical,MEDI90133,Requisites apply,Not offered in 2024,"Graduate coursework, 6.25 credit points",https://handbook.unimelb.edu.au/2024/subjects/medi90133
Quality and Customer Driven Innovation,BUSA90528,Subject,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/busa90528
Critical Issues in Contemporary Art A,FINA60013,Subject,"Offered Semester 1, 2024","Graduate coursework Level 6, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/fina60013
Disorders of Fluency,AUDI90036,Requisites apply,"Offered Semester 1, 2024","Graduate coursework, 6.25 credit points",https://handbook.unimelb.edu.au/2024/subjects/audi90036
Chemistry Research Project Pt 5,CHEM90061,Subject,"Offered Summer Term, Semester 1 (Early-Start), Semester 2 (Early-Start), 2024","Graduate coursework, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/chem90061
The Political Ecology of Development,DEVT90003,Requisites apply,"Offered Semester 1, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/devt90003
Physics Research Project Pt1,PHYC40011,Requisites apply,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024","Undergraduate Level 4, 37.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/phyc40011
Modelling the Australian Macroeconomy,ECOM90012,Requisites apply,"Offered Semester 2, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/ecom90012
Chemistry Research Project Pt 1,CHEM90024,Subject,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024","Graduate coursework, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/chem90024
Speech and Language Disorders - Advanced,AUDI90035,Requisites apply,"Offered Semester 1, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/audi90035
Writing as Women: Critical Readings,ARTS90038,Subject,"Offered Semester 2, 2024","Graduate coursework, 6.25 credit points",https://handbook.unimelb.edu.au/2024/subjects/arts90038
Advanced Mental Health and Ageing,PSYT90095,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/psyt90095
Climate Science Industry Project,ATOC90018,Requisites apply,"Offered Year Long, 2024","Graduate coursework, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/atoc90018
"Democracy, Law and Civil Liberties",LAWS50118,Quotas apply,Not offered in 2024,"Graduate coursework Level 5, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/laws50118
Probability & Inference in Biostatistics,MAST90100,Subject,"Offered Semester 1, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/mast90100
Doing Business in the Asia-Pacific,IBUS20006,Requisites apply,Not offered in 2024,"Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/ibus20006
Industry Research Project,CHEM70002,Subject,"Offered Time-based Research, 2024",Masters time-based research,https://handbook.unimelb.edu.au/2024/subjects/chem70002
Neuroscience and Psychopharmacology,PSYC90083,Requisites apply,"Offered Semester 2, 2024","Graduate coursework, 6.25 credit points",https://handbook.unimelb.edu.au/2024/subjects/psyc90083
Discrete and Network Optimisation,ELEN90087,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/elen90087
Sensor Networks and Applications,COMP90017,Subject,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/comp90017
Orchestra Administration,MUSI90253,Requisites apply,Not offered in 2024,"Graduate coursework, 6.25 credit points",https://handbook.unimelb.edu.au/2024/subjects/musi90253
Analytics for Strategic Management,BUSA90531,Quotas apply,"Offered January, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/busa90531
Positioning Principles and Technologies,GEOM90033,Requisites apply,"Offered Semester 2, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/geom90033
MPhil Research,BMEN70001,Subject,"Offered Time-based Research, 2024",Masters time-based research,https://handbook.unimelb.edu.au/2024/subjects/bmen70001
PhD Research,LING80001,Subject,"Offered Time-based Research, 2024","Doctorate time-based research, 0 credit points",https://handbook.unimelb.edu.au/2024/subjects/ling80001
Corporate Strategy,BUSA90055,Subject,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/busa90055
Secure Cyberphysical Systems,ELEN90080,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/elen90080
