Subject Name,Subject Code,Primary Info,Credit Points,Subject Url
Video Games: Remaking Reality,CCDP10003,"Offered Semester 1, Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/ccdp10003
Area Studies in Ethnomusicology,MUSI20218,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/musi20218
Essentials of Corporate Valuation,FNCE30011,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/fnce30011
Geobiology,GEOL30007,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/geol30007
Topics in Ethnomusicology,MUSI20217,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/musi20217
Fundamentals of Interaction Design,INFO10003,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/info10003
Working with Indigenous Arts & Artists,CREA20001,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/crea20001
Indigenous Astronomy,PHYC10010,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/phyc10010
French 8,FREN20023,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/fren20023
Indigenous Musical Instruments,MUSI20232,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/musi20232
Entrepreneurship for Sustainability,MULT30024,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/mult30024
Global Foundations of Design,ABPL20055,"Offered Semester 1, Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/abpl20055
Game Design,INFO30009,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/info30009
Elements of Data Processing,COMP20008,"Offered Semester 1, Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/comp20008
French 8,FREN10009,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/fren10009
French 8,FREN30022,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/fren30022
Economics for Environmental Scientists,ENST20004,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/enst20004
Real World Epidemiology,POPH30003,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/poph30003
Science & Engineering in Popular Culture,MULT30023,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/mult30023
Dramatic Texts & Empowering Youth,EDUC20084,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/educ20084
Investigating Earth's Structure,GEOL20002,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/geol20002
"Communicating for Health, not Harm",POPH30005,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/poph30005
Indonesian 6,INDO10004,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/indo10004
Health & Disease in Wildlife Populations,VETS30033,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/vets30033
Decolonising the Landscape MultiStudio 1,AIND10005,Not offered in 2024,1,https://handbook.unimelb.edu.au/2024/subjects/aind10005
Latin American Music and Culture,MUSI20236,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/musi20236
Ethics and Equity in Health and Medicine,POPH30004,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/poph30004
Intro to Sustainable Water Management,ENEN30002,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/enen30002
Safeguarding Dark Skies,PHYC30025,Not offered in 2024,3,https://handbook.unimelb.edu.au/2024/subjects/phyc30025
French 7,FREN10008,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/fren10008
Stand Up and Be Funny,PERF20001,"Offered Semester 1, Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/perf20001
Global Pop,MUSI20219,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/musi20219
Earth's Surface Processes,EVSC20008,"Offered July, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/evsc20008
Challenges & Hopes in Contemporary Asia,UNIB10021,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/unib10021
