Course Name,Course Code,Location,Duration,Credit Points,Course Url
Graduate Diploma in Perioperative Medicine,GD-PERIMED,Online,12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-perimed
Master of Clinical Ultrasound,MC-CU,Online,18 months full-time or 36 months part-time,150,https://handbook.unimelb.edu.au/2024/courses/mc-cu
Graduate Diploma in Clinical Research,N34AA,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/n34aa
Master of Climate Science,MC-CLIMSCI,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-climsci
Graduate Certificate in Clinical Research,N12AA,"Parkville, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/n12aa
Graduate Certificate in Health Economics and Economic Evaluation,GC-HLTHEEE,"Parkville, Mixed Attendance Mode",18 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-hltheee
Graduate Diploma in Sports Law,893AA,"Parkville, On Campus",6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/893aa
Bachelor of Science (Extended),B-SCIEXT,"Parkville, On Campus",48 months full-time or 96 months part-time,400,https://handbook.unimelb.edu.au/2024/courses/b-sciext
Graduate Certificate in Gerontology,GC-GERON,Online,6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-geron
Master of Environmental Science,MC-ENVSC,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-envsc
Doctor of Medicine,MC-DMED,"Parkville, On Campus",48 months full-time,400,https://handbook.unimelb.edu.au/2024/courses/mc-dmed
Master of Clinical Ultrasound,MC-CU,Online,18 months full-time or 36 months part-time,150,https://handbook.unimelb.edu.au/2024/courses/mc-cu
Graduate Certificate in Arboriculture,GC-ARBCULT,"Burnley, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-arbcult
Graduate Diploma in Perioperative Medicine,GD-PERIMED,Online,12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-perimed
Graduate Diploma in Clinical Research,N34AA,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/n34aa
Master of Climate Science,MC-CLIMSCI,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-climsci
Graduate Certificate in Clinical Research,N12AA,"Parkville, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/n12aa
Graduate Certificate in Health Economics and Economic Evaluation,GC-HLTHEEE,"Parkville, Mixed Attendance Mode",18 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-hltheee
Graduate Diploma in Sports Law,893AA,"Parkville, On Campus",6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/893aa
